Footprint,Comment,Value,Quantity,Designator
BZ09B,BUZZER_BZ09B_QMB-09B-03,QMB-09B-03,1,LS01
C0603,CAP NP_C0603_NF,NF,2,C01;C02
C0603,CAP NP_C0603_0.1UF,0.1uF,7,C03;C11;C14;C23;C24;C28;C34
C0603,CAP NP_C0603_22PF,22pF,5,C04;C05;C06;C17;C18
C0603,CAP NP_C0603_33PF,33pF,3,C07;C15;C16
C0603,CAP NP_C0603_10PF,10pF,3,C08;C19;C21
C0603,CAP NP_C0603_2.2UF,2.2uF,1,C09
C0603,CAP NP_C0603_2.2UF/16V,2.2uF/16V,2,C20;C29
C0603,CAP NP_C0603_150PF,150pF,1,C22
C0603,CAP NP_C0603_4.7UF,4.7uF,1,C25
C0603,CAP NP_C0603_10NF,10nF,1,C26
C0603,CAP NP_C0603_1UF,1uF,1,C27
C0603,CAP NP_C0603_22NF,22nF,1,C30
C0805,CAP NP_C0805_10UF/10V,10uF/10v,1,C12
C0805,CAP NP_C0805_2.2UF/50V,2.2uF/50V,2,C32;C33
CAPE6X2R50,CAP POL_CAPE6X2R50_100UF/16V,100uF/16V,2,C10;C13
CAPE6X2R50,CAP POL_CAPE6X2R50_47UF/50V,47uF/50V,1,C31
CON5MM-8P,CONN PCB 8_CON5MM-8P_CONN PCB 8,CONN PCB 8,1,J02
INDC-SLF6028,INDUCTOR_INDC-SLF6028_SLO0630H1,SLO0630H150MTT,1,L01
LED0603,LED_LED0603_RED,RED,2,D01;D05
LED0603,LED_LED0603_GREEN,GREEN,1,D02
LED-3MM,LED_LED-3MM_RED,RED,1,D07
LED-3MM,LED_LED-3MM_GREEN,GREEN,3,D08;D09;D10
LQFP-48,STM32F030C8_LQFP-48_(S1+S2)_STM,STM32F030C8,1,U05
R0603,DIODE BI-DIR_R0603_PGB1010603NR,PGB1010603NR,1,D03
R0603,INDUCTOR_R0603_CBG160808U600T,CBG160808U600T,1,L02
R0603,RES_R0603_0R,0R,1,R01
R0603,RES_R0603_1K,1K,25,R02;R03;R04;R05;R11;R14;R15;R21;R23;R24;R25;R26;R30;R36;R37;R38;R39;R40;R41;R44;R46;R47;R52;R59;R62
R0603,RES_R0603_51R,51R,3,R06;R07;R08
R0603,RES_R0603_10K,10K,11,R09;R10;R12;R13;R16;R22;R27;R31;R45;R53;R58
R0603,RES_R0603_100R,100R,4,R17;R20;R50;R57
R0603,RES_R0603_NF,NF,2,R18;R19
R0603,RES_R0603_100K,100K,5,R28;R29;R32;R51;R60
R0603,RESISTOR_R0603_24K,24K,1,R33
R0603,RES_R0603_200K,200K,1,R34
R0603,RES_R0603_30K,30K,1,R35
R0603,RES_R0603_4.7K,4.7K,2,R42;R56
R0603,RES_R0603_20K,20K,1,R54
R0603,RES_R0603_33K,33K,1,R61
R0805,RES_R0805_2R,2R,1,R43
R2010,RES_R2010_22R,22R,2,R48;R49
R2010,RES_R2010_120R,120R,1,R55
RF-SMA,ANT_RF-SMA_ANT,ANT,1,ANT01
SIM800C,SIM800C_SIM800C_SIM800C,SIM800C,1,U02
SIM800C_P0V0,SIM800C_P0V0_SIM800C_P0V0_SIM80,SIM800C_P0V0,1,U01
SIM-MICRO,SIM_SIM-MICRO_SIM-002-T6,SIM-002-T6,1,J01
SMA,DIODE SCHOTTKY_SMA_SS14,SS14,3,D06;D11;D12
SMA,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,1,D14
SMD3215,CRYSTAL_SMD3215_32.768K,32.768K,1,Y02
SMD3225-4,CRYSTAL-1_SMD3225-4_12MHZ,12MHz,1,Y01
SOD-123,DIODE ZENER_SOD-123_MM1Z5V1,MM1Z5V1,1,D04
SOD-323,DIODE_SOD-323_1N4148WS,1N4148WS,1,D15
SOIC-8,W25Q16_SOIC-8_P25Q40,P25Q40,1,U03
SOIC-8,SP485_SOIC-8_SP3485,SP3485,1,U07
SOIC-8P,MP2560_SOIC-8P_MP2560,MP2560,1,U06
SOP-4,EL354_SOP-4_EL354,EL354,1,U08
SOT23-3,TVS_BD_SOT23-3_PSM712,PSM712,1,D13
SOT23-3,NMOS_SOT23-3_2N7002,2N7002,6,Q01;Q02;Q04;Q07;Q08;Q09
SOT23-3,PMOS_SOT23-3_AO3401,AO3401,1,Q03
SOT23-3,NPN_SOT23-3_NPN,NPN,2,Q05;Q06
SOT23-3,PMOS_SOT23-3_AO3401A,AO3401A,1,Q10
SOT23-5,RT9193_SOT23-5_RT9193-33GB,RT9193-33GB,1,U04
SOT23-6,DTVSARR_CA_5/SOT23_SOT23-6_ESDA,ESDA6V1-5SC6,1,DN01
SW-3X6,SW-PB-2_SW-3X6_SW-PB-2,SW-PB-2,1,SW01
TP1,TP_TP1_TP,TP,5,TP01;TP02;TP03;TP04;TP05
XH-2A,CONN PCB 2_XH-2A_CONN PCB 2,CONN PCB 2,1,J03
XH-4A,CONN PCB 4_XH-4A_SWD,SWD,1,J04
